"Notes"	"Region"	"Region Code"	"State"	"State Code"	"County"	"County Code"	"Month, Year"	"Month, Year Code"	Avg Daily Max Air Temperature (C)
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Jan, 1999"	"1999/01"	15.50
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Feb, 1999"	"1999/02"	17.25
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Mar, 1999"	"1999/03"	16.80
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Apr, 1999"	"1999/04"	25.38
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"May, 1999"	"1999/05"	26.94
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Jun, 1999"	"1999/06"	29.50
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Jul, 1999"	"1999/07"	31.43
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Aug, 1999"	"1999/08"	33.24
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Sep, 1999"	"1999/09"	29.04
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Oct, 1999"	"1999/10"	24.26
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Nov, 1999"	"1999/11"	19.97
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Dec, 1999"	"1999/12"	14.15
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Jan, 2000"	"2000/01"	12.60
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Feb, 2000"	"2000/02"	18.21
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Mar, 2000"	"2000/03"	21.50
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Apr, 2000"	"2000/04"	22.21
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"May, 2000"	"2000/05"	29.49
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Jun, 2000"	"2000/06"	31.18
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Jul, 2000"	"2000/07"	34.43
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Aug, 2000"	"2000/08"	35.12
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Sep, 2000"	"2000/09"	29.88
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Oct, 2000"	"2000/10"	27.07
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Nov, 2000"	"2000/11"	17.00
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Dec, 2000"	"2000/12"	9.84
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Jan, 2001"	"2001/01"	10.27
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Feb, 2001"	"2001/02"	17.77
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Mar, 2001"	"2001/03"	15.51
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Apr, 2001"	"2001/04"	24.01
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"May, 2001"	"2001/05"	26.91
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Jun, 2001"	"2001/06"	28.90
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Jul, 2001"	"2001/07"	31.34
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Aug, 2001"	"2001/08"	30.90
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Sep, 2001"	"2001/09"	27.38
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Oct, 2001"	"2001/10"	22.62
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Nov, 2001"	"2001/11"	22.04
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Dec, 2001"	"2001/12"	15.65
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Jan, 2002"	"2002/01"	14.27
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Feb, 2002"	"2002/02"	13.04
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Mar, 2002"	"2002/03"	19.33
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Apr, 2002"	"2002/04"	24.76
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"May, 2002"	"2002/05"	27.47
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Jun, 2002"	"2002/06"	29.99
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Jul, 2002"	"2002/07"	31.79
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Aug, 2002"	"2002/08"	32.10
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Sep, 2002"	"2002/09"	30.39
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Oct, 2002"	"2002/10"	25.48
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Nov, 2002"	"2002/11"	16.22
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Dec, 2002"	"2002/12"	13.24
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Jan, 2003"	"2003/01"	10.46
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Feb, 2003"	"2003/02"	15.42
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Mar, 2003"	"2003/03"	20.77
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Apr, 2003"	"2003/04"	23.83
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"May, 2003"	"2003/05"	27.79
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Jun, 2003"	"2003/06"	29.20
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Jul, 2003"	"2003/07"	30.12
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Aug, 2003"	"2003/08"	30.76
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Sep, 2003"	"2003/09"	28.04
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Oct, 2003"	"2003/10"	24.10
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Nov, 2003"	"2003/11"	21.16
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Dec, 2003"	"2003/12"	12.86
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Jan, 2004"	"2004/01"	13.07
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Feb, 2004"	"2004/02"	13.07
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Mar, 2004"	"2004/03"	21.03
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Apr, 2004"	"2004/04"	22.97
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"May, 2004"	"2004/05"	28.25
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Jun, 2004"	"2004/06"	29.89
	"Census Region 3: South"	"CENS-R3"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Jul, 2004"	"2004/07"	32.32
