"Notes"	"Region"	"Region Code"	"State"	"State Code"	"County"	"County Code"	"Month, Year"	"Month, Year Code"	Avg Daily Max Air Temperature (C)
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"Kent County, DE"	"10001"	"Jan, 1999"	"1999/01"	6.31
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"Kent County, DE"	"10001"	"Feb, 1999"	"1999/02"	6.52
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"Kent County, DE"	"10001"	"Mar, 1999"	"1999/03"	7.95
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"Kent County, DE"	"10001"	"Apr, 1999"	"1999/04"	14.45
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"Kent County, DE"	"10001"	"May, 1999"	"1999/05"	20.16
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"Kent County, DE"	"10001"	"Jun, 1999"	"1999/06"	24.29
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"Kent County, DE"	"10001"	"Jul, 1999"	"1999/07"	30.40
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"Kent County, DE"	"10001"	"Aug, 1999"	"1999/08"	29.20
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"Kent County, DE"	"10001"	"Sep, 1999"	"1999/09"	24.28
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"Kent County, DE"	"10001"	"Oct, 1999"	"1999/10"	17.92
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"Kent County, DE"	"10001"	"Nov, 1999"	"1999/11"	14.12
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"Kent County, DE"	"10001"	"Dec, 1999"	"1999/12"	7.58
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"Kent County, DE"	"10001"	"Jan, 2000"	"2000/01"	3.67
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"Kent County, DE"	"10001"	"Feb, 2000"	"2000/02"	6.64
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"Kent County, DE"	"10001"	"Mar, 2000"	"2000/03"	11.99
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"Kent County, DE"	"10001"	"Apr, 2000"	"2000/04"	13.87
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"Kent County, DE"	"10001"	"May, 2000"	"2000/05"	21.22
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"Kent County, DE"	"10001"	"Jun, 2000"	"2000/06"	25.51
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"Kent County, DE"	"10001"	"Jul, 2000"	"2000/07"	25.67
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"Kent County, DE"	"10001"	"Aug, 2000"	"2000/08"	26.00
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"Kent County, DE"	"10001"	"Sep, 2000"	"2000/09"	22.68
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"Kent County, DE"	"10001"	"Oct, 2000"	"2000/10"	18.70
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"Kent County, DE"	"10001"	"Nov, 2000"	"2000/11"	10.47
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"Kent County, DE"	"10001"	"Dec, 2000"	"2000/12"	2.90
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"Kent County, DE"	"10001"	"Jan, 2001"	"2001/01"	2.91
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"Kent County, DE"	"10001"	"Feb, 2001"	"2001/02"	5.88
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"Kent County, DE"	"10001"	"Mar, 2001"	"2001/03"	7.64
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"Kent County, DE"	"10001"	"Apr, 2001"	"2001/04"	15.30
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"Kent County, DE"	"10001"	"May, 2001"	"2001/05"	20.34
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"Kent County, DE"	"10001"	"Jun, 2001"	"2001/06"	25.28
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"Kent County, DE"	"10001"	"Jul, 2001"	"2001/07"	25.98
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"Kent County, DE"	"10001"	"Aug, 2001"	"2001/08"	28.10
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"Kent County, DE"	"10001"	"Sep, 2001"	"2001/09"	23.31
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"Kent County, DE"	"10001"	"Oct, 2001"	"2001/10"	18.53
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"Kent County, DE"	"10001"	"Nov, 2001"	"2001/11"	15.03
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"Kent County, DE"	"10001"	"Dec, 2001"	"2001/12"	9.97
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"Kent County, DE"	"10001"	"Jan, 2002"	"2002/01"	7.10
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"Kent County, DE"	"10001"	"Feb, 2002"	"2002/02"	8.67
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"Kent County, DE"	"10001"	"Mar, 2002"	"2002/03"	11.51
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"Kent County, DE"	"10001"	"Apr, 2002"	"2002/04"	17.27
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"Kent County, DE"	"10001"	"May, 2002"	"2002/05"	20.68
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"Kent County, DE"	"10001"	"Jun, 2002"	"2002/06"	26.43
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"Kent County, DE"	"10001"	"Jul, 2002"	"2002/07"	29.97
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"Kent County, DE"	"10001"	"Aug, 2002"	"2002/08"	30.87
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"Kent County, DE"	"10001"	"Sep, 2002"	"2002/09"	25.31
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"Kent County, DE"	"10001"	"Oct, 2002"	"2002/10"	17.95
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"Kent County, DE"	"10001"	"Nov, 2002"	"2002/11"	11.25
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"Kent County, DE"	"10001"	"Dec, 2002"	"2002/12"	5.19
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"Kent County, DE"	"10001"	"Jan, 2003"	"2003/01"	1.54
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"Kent County, DE"	"10001"	"Feb, 2003"	"2003/02"	1.94
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"Kent County, DE"	"10001"	"Mar, 2003"	"2003/03"	10.15
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"Kent County, DE"	"10001"	"Apr, 2003"	"2003/04"	14.75
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"Kent County, DE"	"10001"	"May, 2003"	"2003/05"	18.13
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"Kent County, DE"	"10001"	"Jun, 2003"	"2003/06"	24.37
