"Notes"	"Region"	"Region Code"	"State"	"State Code"	"County"	"County Code"	"Month, Year"	"Month, Year Code"	Avg Daily Max Air Temperature (C)
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"Alachua County, FL"	"12001"	"Jan, 1999"	"1999/01"	21.27
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"Alachua County, FL"	"12001"	"Feb, 1999"	"1999/02"	21.37
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"Alachua County, FL"	"12001"	"Mar, 1999"	"1999/03"	22.22
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"Alachua County, FL"	"12001"	"Apr, 1999"	"1999/04"	28.16
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"Alachua County, FL"	"12001"	"May, 1999"	"1999/05"	30.54
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"Alachua County, FL"	"12001"	"Jun, 1999"	"1999/06"	31.05
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"Alachua County, FL"	"12001"	"Jul, 1999"	"1999/07"	32.50
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"Alachua County, FL"	"12001"	"Aug, 1999"	"1999/08"	32.66
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"Alachua County, FL"	"12001"	"Sep, 1999"	"1999/09"	30.41
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"Alachua County, FL"	"12001"	"Oct, 1999"	"1999/10"	26.90
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"Alachua County, FL"	"12001"	"Nov, 1999"	"1999/11"	23.22
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"Alachua County, FL"	"12001"	"Dec, 1999"	"1999/12"	20.04
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"Alachua County, FL"	"12001"	"Jan, 2000"	"2000/01"	19.20
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"Alachua County, FL"	"12001"	"Feb, 2000"	"2000/02"	21.27
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"Alachua County, FL"	"12001"	"Mar, 2000"	"2000/03"	25.48
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"Alachua County, FL"	"12001"	"Apr, 2000"	"2000/04"	25.98
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"Alachua County, FL"	"12001"	"May, 2000"	"2000/05"	33.07
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"Alachua County, FL"	"12001"	"Jun, 2000"	"2000/06"	32.74
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"Alachua County, FL"	"12001"	"Jul, 2000"	"2000/07"	32.62
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"Alachua County, FL"	"12001"	"Aug, 2000"	"2000/08"	32.14
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"Alachua County, FL"	"12001"	"Sep, 2000"	"2000/09"	29.63
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"Alachua County, FL"	"12001"	"Oct, 2000"	"2000/10"	26.04
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"Alachua County, FL"	"12001"	"Nov, 2000"	"2000/11"	22.06
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"Alachua County, FL"	"12001"	"Dec, 2000"	"2000/12"	18.25
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"Alachua County, FL"	"12001"	"Jan, 2001"	"2001/01"	17.00
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"Alachua County, FL"	"12001"	"Feb, 2001"	"2001/02"	23.23
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"Alachua County, FL"	"12001"	"Mar, 2001"	"2001/03"	21.67
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"Alachua County, FL"	"12001"	"Apr, 2001"	"2001/04"	26.74
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"Alachua County, FL"	"12001"	"May, 2001"	"2001/05"	31.18
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"Alachua County, FL"	"12001"	"Jun, 2001"	"2001/06"	31.62
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"Alachua County, FL"	"12001"	"Jul, 2001"	"2001/07"	31.05
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"Alachua County, FL"	"12001"	"Aug, 2001"	"2001/08"	31.47
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"Alachua County, FL"	"12001"	"Sep, 2001"	"2001/09"	28.72
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"Alachua County, FL"	"12001"	"Oct, 2001"	"2001/10"	25.93
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"Alachua County, FL"	"12001"	"Nov, 2001"	"2001/11"	24.68
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"Alachua County, FL"	"12001"	"Dec, 2001"	"2001/12"	22.58
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"Alachua County, FL"	"12001"	"Jan, 2002"	"2002/01"	19.95
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"Alachua County, FL"	"12001"	"Feb, 2002"	"2002/02"	19.39
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"Alachua County, FL"	"12001"	"Mar, 2002"	"2002/03"	24.85
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"Alachua County, FL"	"12001"	"Apr, 2002"	"2002/04"	28.23
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"Alachua County, FL"	"12001"	"May, 2002"	"2002/05"	31.66
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"Alachua County, FL"	"12001"	"Jun, 2002"	"2002/06"	31.05
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"Alachua County, FL"	"12001"	"Jul, 2002"	"2002/07"	31.61
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"Alachua County, FL"	"12001"	"Aug, 2002"	"2002/08"	31.13
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"Alachua County, FL"	"12001"	"Sep, 2002"	"2002/09"	30.51
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"Alachua County, FL"	"12001"	"Oct, 2002"	"2002/10"	28.43
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"Alachua County, FL"	"12001"	"Nov, 2002"	"2002/11"	21.52
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"Alachua County, FL"	"12001"	"Dec, 2002"	"2002/12"	18.66
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"Alachua County, FL"	"12001"	"Jan, 2003"	"2003/01"	15.67
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"Alachua County, FL"	"12001"	"Feb, 2003"	"2003/02"	20.81
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"Alachua County, FL"	"12001"	"Mar, 2003"	"2003/03"	25.00
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"Alachua County, FL"	"12001"	"Apr, 2003"	"2003/04"	25.96
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"Alachua County, FL"	"12001"	"May, 2003"	"2003/05"	30.69
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"Alachua County, FL"	"12001"	"Jun, 2003"	"2003/06"	31.00
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"Alachua County, FL"	"12001"	"Jul, 2003"	"2003/07"	31.51
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"Alachua County, FL"	"12001"	"Aug, 2003"	"2003/08"	30.92
