"Notes"	"Region"	"Region Code"	"State"	"State Code"	"County"	"County Code"	"Month, Year"	"Month, Year Code"	Avg Daily Max Air Temperature (C)
	"Census Region 3: South"	"CENS-R3"	"Georgia"	"13"	"Appling County, GA"	"13001"	"Jan, 1999"	"1999/01"	18.42
	"Census Region 3: South"	"CENS-R3"	"Georgia"	"13"	"Appling County, GA"	"13001"	"Feb, 1999"	"1999/02"	19.08
	"Census Region 3: South"	"CENS-R3"	"Georgia"	"13"	"Appling County, GA"	"13001"	"Mar, 1999"	"1999/03"	19.38
	"Census Region 3: South"	"CENS-R3"	"Georgia"	"13"	"Appling County, GA"	"13001"	"Apr, 1999"	"1999/04"	27.05
	"Census Region 3: South"	"CENS-R3"	"Georgia"	"13"	"Appling County, GA"	"13001"	"May, 1999"	"1999/05"	29.32
	"Census Region 3: South"	"CENS-R3"	"Georgia"	"13"	"Appling County, GA"	"13001"	"Jun, 1999"	"1999/06"	31.29
	"Census Region 3: South"	"CENS-R3"	"Georgia"	"13"	"Appling County, GA"	"13001"	"Jul, 1999"	"1999/07"	32.51
	"Census Region 3: South"	"CENS-R3"	"Georgia"	"13"	"Appling County, GA"	"13001"	"Aug, 1999"	"1999/08"	33.35
	"Census Region 3: South"	"CENS-R3"	"Georgia"	"13"	"Appling County, GA"	"13001"	"Sep, 1999"	"1999/09"	29.75
	"Census Region 3: South"	"CENS-R3"	"Georgia"	"13"	"Appling County, GA"	"13001"	"Oct, 1999"	"1999/10"	25.90
	"Census Region 3: South"	"CENS-R3"	"Georgia"	"13"	"Appling County, GA"	"13001"	"Nov, 1999"	"1999/11"	22.06
	"Census Region 3: South"	"CENS-R3"	"Georgia"	"13"	"Appling County, GA"	"13001"	"Dec, 1999"	"1999/12"	16.98
	"Census Region 3: South"	"CENS-R3"	"Georgia"	"13"	"Appling County, GA"	"13001"	"Jan, 2000"	"2000/01"	14.98
	"Census Region 3: South"	"CENS-R3"	"Georgia"	"13"	"Appling County, GA"	"13001"	"Feb, 2000"	"2000/02"	18.94
	"Census Region 3: South"	"CENS-R3"	"Georgia"	"13"	"Appling County, GA"	"13001"	"Mar, 2000"	"2000/03"	22.87
	"Census Region 3: South"	"CENS-R3"	"Georgia"	"13"	"Appling County, GA"	"13001"	"Apr, 2000"	"2000/04"	23.65
	"Census Region 3: South"	"CENS-R3"	"Georgia"	"13"	"Appling County, GA"	"13001"	"May, 2000"	"2000/05"	31.42
	"Census Region 3: South"	"CENS-R3"	"Georgia"	"13"	"Appling County, GA"	"13001"	"Jun, 2000"	"2000/06"	32.55
	"Census Region 3: South"	"CENS-R3"	"Georgia"	"13"	"Appling County, GA"	"13001"	"Jul, 2000"	"2000/07"	33.63
	"Census Region 3: South"	"CENS-R3"	"Georgia"	"13"	"Appling County, GA"	"13001"	"Aug, 2000"	"2000/08"	32.27
	"Census Region 3: South"	"CENS-R3"	"Georgia"	"13"	"Appling County, GA"	"13001"	"Sep, 2000"	"2000/09"	28.25
	"Census Region 3: South"	"CENS-R3"	"Georgia"	"13"	"Appling County, GA"	"13001"	"Oct, 2000"	"2000/10"	25.71
