"Notes"	"Region"	"Region Code"	"State"	"State Code"	"County"	"County Code"	"Month, Year"	"Month, Year Code"	Avg Daily Max Air Temperature (C)
	"Census Region 3: South"	"CENS-R3"	"Louisiana"	"22"	"Acadia Parish, LA"	"22001"	"Jan, 1999"	"1999/01"	18.75
	"Census Region 3: South"	"CENS-R3"	"Louisiana"	"22"	"Acadia Parish, LA"	"22001"	"Feb, 1999"	"1999/02"	20.63
	"Census Region 3: South"	"CENS-R3"	"Louisiana"	"22"	"Acadia Parish, LA"	"22001"	"Mar, 1999"	"1999/03"	21.31
	"Census Region 3: South"	"CENS-R3"	"Louisiana"	"22"	"Acadia Parish, LA"	"22001"	"Apr, 1999"	"1999/04"	27.62
	"Census Region 3: South"	"CENS-R3"	"Louisiana"	"22"	"Acadia Parish, LA"	"22001"	"May, 1999"	"1999/05"	29.73
	"Census Region 3: South"	"CENS-R3"	"Louisiana"	"22"	"Acadia Parish, LA"	"22001"	"Jun, 1999"	"1999/06"	30.80
	"Census Region 3: South"	"CENS-R3"	"Louisiana"	"22"	"Acadia Parish, LA"	"22001"	"Jul, 1999"	"1999/07"	31.12
	"Census Region 3: South"	"CENS-R3"	"Louisiana"	"22"	"Acadia Parish, LA"	"22001"	"Aug, 1999"	"1999/08"	34.03
	"Census Region 3: South"	"CENS-R3"	"Louisiana"	"22"	"Acadia Parish, LA"	"22001"	"Sep, 1999"	"1999/09"	30.74
	"Census Region 3: South"	"CENS-R3"	"Louisiana"	"22"	"Acadia Parish, LA"	"22001"	"Oct, 1999"	"1999/10"	26.69
	"Census Region 3: South"	"CENS-R3"	"Louisiana"	"22"	"Acadia Parish, LA"	"22001"	"Nov, 1999"	"1999/11"	23.36
	"Census Region 3: South"	"CENS-R3"	"Louisiana"	"22"	"Acadia Parish, LA"	"22001"	"Dec, 1999"	"1999/12"	17.98
	"Census Region 3: South"	"CENS-R3"	"Louisiana"	"22"	"Acadia Parish, LA"	"22001"	"Jan, 2000"	"2000/01"	17.90
	"Census Region 3: South"	"CENS-R3"	"Louisiana"	"22"	"Acadia Parish, LA"	"22001"	"Feb, 2000"	"2000/02"	22.00
	"Census Region 3: South"	"CENS-R3"	"Louisiana"	"22"	"Acadia Parish, LA"	"22001"	"Mar, 2000"	"2000/03"	25.10
	"Census Region 3: South"	"CENS-R3"	"Louisiana"	"22"	"Acadia Parish, LA"	"22001"	"Apr, 2000"	"2000/04"	26.25
	"Census Region 3: South"	"CENS-R3"	"Louisiana"	"22"	"Acadia Parish, LA"	"22001"	"May, 2000"	"2000/05"	31.22
	"Census Region 3: South"	"CENS-R3"	"Louisiana"	"22"	"Acadia Parish, LA"	"22001"	"Jun, 2000"	"2000/06"	31.55
	"Census Region 3: South"	"CENS-R3"	"Louisiana"	"22"	"Acadia Parish, LA"	"22001"	"Jul, 2000"	"2000/07"	33.65
	"Census Region 3: South"	"CENS-R3"	"Louisiana"	"22"	"Acadia Parish, LA"	"22001"	"Aug, 2000"	"2000/08"	35.86
	"Census Region 3: South"	"CENS-R3"	"Louisiana"	"22"	"Acadia Parish, LA"	"22001"	"Sep, 2000"	"2000/09"	32.26
	"Census Region 3: South"	"CENS-R3"	"Louisiana"	"22"	"Acadia Parish, LA"	"22001"	"Oct, 2000"	"2000/10"	27.73
	"Census Region 3: South"	"CENS-R3"	"Louisiana"	"22"	"Acadia Parish, LA"	"22001"	"Nov, 2000"	"2000/11"	18.99
	"Census Region 3: South"	"CENS-R3"	"Louisiana"	"22"	"Acadia Parish, LA"	"22001"	"Dec, 2000"	"2000/12"	13.01
	"Census Region 3: South"	"CENS-R3"	"Louisiana"	"22"	"Acadia Parish, LA"	"22001"	"Jan, 2001"	"2001/01"	14.11
	"Census Region 3: South"	"CENS-R3"	"Louisiana"	"22"	"Acadia Parish, LA"	"22001"	"Feb, 2001"	"2001/02"	20.22
	"Census Region 3: South"	"CENS-R3"	"Louisiana"	"22"	"Acadia Parish, LA"	"22001"	"Mar, 2001"	"2001/03"	18.46
	"Census Region 3: South"	"CENS-R3"	"Louisiana"	"22"	"Acadia Parish, LA"	"22001"	"Apr, 2001"	"2001/04"	26.47
	"Census Region 3: South"	"CENS-R3"	"Louisiana"	"22"	"Acadia Parish, LA"	"22001"	"May, 2001"	"2001/05"	28.87
