"Notes"	"Region"	"Region Code"	"State"	"State Code"	"County"	"County Code"	"Month, Year"	"Month, Year Code"	Avg Daily Max Air Temperature (C)
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"Alcona County, MI"	"26001"	"Jan, 1999"	"1999/01"	-4.22
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"Alcona County, MI"	"26001"	"Feb, 1999"	"1999/02"	-0.22
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"Alcona County, MI"	"26001"	"Mar, 1999"	"1999/03"	2.54
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"Alcona County, MI"	"26001"	"Apr, 1999"	"1999/04"	11.34
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"Alcona County, MI"	"26001"	"May, 1999"	"1999/05"	18.37
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"Alcona County, MI"	"26001"	"Jun, 1999"	"1999/06"	22.92
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"Alcona County, MI"	"26001"	"Jul, 1999"	"1999/07"	26.26
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"Alcona County, MI"	"26001"	"Aug, 1999"	"1999/08"	22.85
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"Alcona County, MI"	"26001"	"Sep, 1999"	"1999/09"	20.91
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"Alcona County, MI"	"26001"	"Oct, 1999"	"1999/10"	12.52
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"Alcona County, MI"	"26001"	"Nov, 1999"	"1999/11"	8.82
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"Alcona County, MI"	"26001"	"Dec, 1999"	"1999/12"	-0.03
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"Alcona County, MI"	"26001"	"Jan, 2000"	"2000/01"	-3.97
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"Alcona County, MI"	"26001"	"Feb, 2000"	"2000/02"	0.89
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"Alcona County, MI"	"26001"	"Mar, 2000"	"2000/03"	8.20
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"Alcona County, MI"	"26001"	"Apr, 2000"	"2000/04"	10.03
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"Alcona County, MI"	"26001"	"May, 2000"	"2000/05"	17.44
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"Alcona County, MI"	"26001"	"Jun, 2000"	"2000/06"	20.98
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"Alcona County, MI"	"26001"	"Jul, 2000"	"2000/07"	22.96
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"Alcona County, MI"	"26001"	"Aug, 2000"	"2000/08"	24.21
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"Alcona County, MI"	"26001"	"Sep, 2000"	"2000/09"	19.25
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"Alcona County, MI"	"26001"	"Oct, 2000"	"2000/10"	15.35
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"Alcona County, MI"	"26001"	"Nov, 2000"	"2000/11"	4.91
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"Alcona County, MI"	"26001"	"Dec, 2000"	"2000/12"	-4.08
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"Alcona County, MI"	"26001"	"Jan, 2001"	"2001/01"	-2.20
