"Notes"	"Region"	"Region Code"	"State"	"State Code"	"County"	"County Code"	"Month, Year"	"Month, Year Code"	Avg Daily Max Air Temperature (C)
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Adams County, NE"	"31001"	"Jan, 1999"	"1999/01"	0.34
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Adams County, NE"	"31001"	"Feb, 1999"	"1999/02"	9.39
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Adams County, NE"	"31001"	"Mar, 1999"	"1999/03"	10.14
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Adams County, NE"	"31001"	"Apr, 1999"	"1999/04"	16.36
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Adams County, NE"	"31001"	"May, 1999"	"1999/05"	22.41
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Adams County, NE"	"31001"	"Jun, 1999"	"1999/06"	26.41
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Adams County, NE"	"31001"	"Jul, 1999"	"1999/07"	32.10
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Adams County, NE"	"31001"	"Aug, 1999"	"1999/08"	29.60
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Adams County, NE"	"31001"	"Sep, 1999"	"1999/09"	25.72
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Adams County, NE"	"31001"	"Oct, 1999"	"1999/10"	21.17
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Adams County, NE"	"31001"	"Nov, 1999"	"1999/11"	16.85
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Adams County, NE"	"31001"	"Dec, 1999"	"1999/12"	6.33
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Adams County, NE"	"31001"	"Jan, 2000"	"2000/01"	4.70
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Adams County, NE"	"31001"	"Feb, 2000"	"2000/02"	10.16
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Adams County, NE"	"31001"	"Mar, 2000"	"2000/03"	13.44
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Adams County, NE"	"31001"	"Apr, 2000"	"2000/04"	18.52
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Adams County, NE"	"31001"	"May, 2000"	"2000/05"	26.65
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Adams County, NE"	"31001"	"Jun, 2000"	"2000/06"	29.74
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Adams County, NE"	"31001"	"Jul, 2000"	"2000/07"	33.63
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Adams County, NE"	"31001"	"Aug, 2000"	"2000/08"	37.19
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Adams County, NE"	"31001"	"Sep, 2000"	"2000/09"	29.38
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Adams County, NE"	"31001"	"Oct, 2000"	"2000/10"	20.45
