"Notes"	"Region"	"Region Code"	"State"	"State Code"	"County"	"County Code"	"Month, Year"	"Month, Year Code"	Avg Daily Max Air Temperature (C)
	"Census Region 4: West"	"CENS-R4"	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"Jan, 1999"	"1999/01"	8.16
	"Census Region 4: West"	"CENS-R4"	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"Feb, 1999"	"1999/02"	11.50
	"Census Region 4: West"	"CENS-R4"	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"Mar, 1999"	"1999/03"	15.97
	"Census Region 4: West"	"CENS-R4"	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"Apr, 1999"	"1999/04"	16.94
	"Census Region 4: West"	"CENS-R4"	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"May, 1999"	"1999/05"	23.20
	"Census Region 4: West"	"CENS-R4"	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"Jun, 1999"	"1999/06"	28.83
	"Census Region 4: West"	"CENS-R4"	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"Jul, 1999"	"1999/07"	30.13
	"Census Region 4: West"	"CENS-R4"	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"Aug, 1999"	"1999/08"	28.94
	"Census Region 4: West"	"CENS-R4"	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"Sep, 1999"	"1999/09"	26.35
	"Census Region 4: West"	"CENS-R4"	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"Oct, 1999"	"1999/10"	20.94
	"Census Region 4: West"	"CENS-R4"	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"Nov, 1999"	"1999/11"	16.24
	"Census Region 4: West"	"CENS-R4"	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"Dec, 1999"	"1999/12"	3.84
	"Census Region 4: West"	"CENS-R4"	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"Jan, 2000"	"2000/01"	7.13
	"Census Region 4: West"	"CENS-R4"	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"Feb, 2000"	"2000/02"	12.50
	"Census Region 4: West"	"CENS-R4"	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"Mar, 2000"	"2000/03"	14.59
	"Census Region 4: West"	"CENS-R4"	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"Apr, 2000"	"2000/04"	21.11
	"Census Region 4: West"	"CENS-R4"	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"May, 2000"	"2000/05"	27.70
	"Census Region 4: West"	"CENS-R4"	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"Jun, 2000"	"2000/06"	30.50
	"Census Region 4: West"	"CENS-R4"	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"Jul, 2000"	"2000/07"	32.71
	"Census Region 4: West"	"CENS-R4"	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"Aug, 2000"	"2000/08"	31.25
	"Census Region 4: West"	"CENS-R4"	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"Sep, 2000"	"2000/09"	29.02
	"Census Region 4: West"	"CENS-R4"	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"Oct, 2000"	"2000/10"	18.50
	"Census Region 4: West"	"CENS-R4"	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"Nov, 2000"	"2000/11"	7.13
	"Census Region 4: West"	"CENS-R4"	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"Dec, 2000"	"2000/12"	5.54
	"Census Region 4: West"	"CENS-R4"	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"Jan, 2001"	"2001/01"	1.02
	"Census Region 4: West"	"CENS-R4"	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"Feb, 2001"	"2001/02"	6.91
	"Census Region 4: West"	"CENS-R4"	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"Mar, 2001"	"2001/03"	13.40
	"Census Region 4: West"	"CENS-R4"	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"Apr, 2001"	"2001/04"	19.69
	"Census Region 4: West"	"CENS-R4"	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"May, 2001"	"2001/05"	26.04
	"Census Region 4: West"	"CENS-R4"	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"Jun, 2001"	"2001/06"	30.80
