"Notes"	"Region"	"Region Code"	"State"	"State Code"	"County"	"County Code"	"Month, Year"	"Month, Year Code"	Avg Daily Max Air Temperature (C)
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Albany County, NY"	"36001"	"Jan, 1999"	"1999/01"	-2.45
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Albany County, NY"	"36001"	"Feb, 1999"	"1999/02"	0.25
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Albany County, NY"	"36001"	"Mar, 1999"	"1999/03"	3.37
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Albany County, NY"	"36001"	"Apr, 1999"	"1999/04"	11.74
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Albany County, NY"	"36001"	"May, 1999"	"1999/05"	18.64
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Albany County, NY"	"36001"	"Jun, 1999"	"1999/06"	23.69
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Albany County, NY"	"36001"	"Jul, 1999"	"1999/07"	27.08
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Albany County, NY"	"36001"	"Aug, 1999"	"1999/08"	23.89
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Albany County, NY"	"36001"	"Sep, 1999"	"1999/09"	21.99
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Albany County, NY"	"36001"	"Oct, 1999"	"1999/10"	13.68
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Albany County, NY"	"36001"	"Nov, 1999"	"1999/11"	9.38
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Albany County, NY"	"36001"	"Dec, 1999"	"1999/12"	1.09
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Albany County, NY"	"36001"	"Jan, 2000"	"2000/01"	-3.20
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Albany County, NY"	"36001"	"Feb, 2000"	"2000/02"	-0.35
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Albany County, NY"	"36001"	"Mar, 2000"	"2000/03"	8.42
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Albany County, NY"	"36001"	"Apr, 2000"	"2000/04"	11.01
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Albany County, NY"	"36001"	"May, 2000"	"2000/05"	18.26
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Albany County, NY"	"36001"	"Jun, 2000"	"2000/06"	22.71
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Albany County, NY"	"36001"	"Jul, 2000"	"2000/07"	23.03
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Albany County, NY"	"36001"	"Aug, 2000"	"2000/08"	23.52
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Albany County, NY"	"36001"	"Sep, 2000"	"2000/09"	19.55
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Albany County, NY"	"36001"	"Oct, 2000"	"2000/10"	14.16
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Albany County, NY"	"36001"	"Nov, 2000"	"2000/11"	6.17
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Albany County, NY"	"36001"	"Dec, 2000"	"2000/12"	-2.78
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Albany County, NY"	"36001"	"Jan, 2001"	"2001/01"	-1.91
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Albany County, NY"	"36001"	"Feb, 2001"	"2001/02"	-0.90
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Albany County, NY"	"36001"	"Mar, 2001"	"2001/03"	1.26
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Albany County, NY"	"36001"	"Apr, 2001"	"2001/04"	12.87
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Albany County, NY"	"36001"	"May, 2001"	"2001/05"	18.69
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Albany County, NY"	"36001"	"Jun, 2001"	"2001/06"	23.65
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Albany County, NY"	"36001"	"Jul, 2001"	"2001/07"	23.79
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Albany County, NY"	"36001"	"Aug, 2001"	"2001/08"	26.91
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Albany County, NY"	"36001"	"Sep, 2001"	"2001/09"	20.91
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Albany County, NY"	"36001"	"Oct, 2001"	"2001/10"	15.60
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Albany County, NY"	"36001"	"Nov, 2001"	"2001/11"	10.42
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Albany County, NY"	"36001"	"Dec, 2001"	"2001/12"	3.12
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Albany County, NY"	"36001"	"Jan, 2002"	"2002/01"	0.66
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Albany County, NY"	"36001"	"Feb, 2002"	"2002/02"	2.32
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Albany County, NY"	"36001"	"Mar, 2002"	"2002/03"	6.08
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"Albany County, NY"	"36001"	"Apr, 2002"	"2002/04"	12.78
