"Notes"	"Region"	"Region Code"	"State"	"State Code"	"County"	"County Code"	"Month, Year"	"Month, Year Code"	Avg Daily Max Air Temperature (C)
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"Adams County, ND"	"38001"	"Jan, 1999"	"1999/01"	-4.99
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"Adams County, ND"	"38001"	"Feb, 1999"	"1999/02"	1.65
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"Adams County, ND"	"38001"	"Mar, 1999"	"1999/03"	8.17
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"Adams County, ND"	"38001"	"Apr, 1999"	"1999/04"	11.60
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"Adams County, ND"	"38001"	"May, 1999"	"1999/05"	18.91
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"Adams County, ND"	"38001"	"Jun, 1999"	"1999/06"	23.90
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"Adams County, ND"	"38001"	"Jul, 1999"	"1999/07"	29.60
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"Adams County, ND"	"38001"	"Aug, 1999"	"1999/08"	30.52
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"Adams County, ND"	"38001"	"Sep, 1999"	"1999/09"	19.95
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"Adams County, ND"	"38001"	"Oct, 1999"	"1999/10"	15.92
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"Adams County, ND"	"38001"	"Nov, 1999"	"1999/11"	12.57
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"Adams County, ND"	"38001"	"Dec, 1999"	"1999/12"	2.06
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"Adams County, ND"	"38001"	"Jan, 2000"	"2000/01"	-3.94
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"Adams County, ND"	"38001"	"Feb, 2000"	"2000/02"	4.16
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"Adams County, ND"	"38001"	"Mar, 2000"	"2000/03"	10.31
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"Adams County, ND"	"38001"	"Apr, 2000"	"2000/04"	14.09
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"Adams County, ND"	"38001"	"May, 2000"	"2000/05"	21.15
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"Adams County, ND"	"38001"	"Jun, 2000"	"2000/06"	24.69
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"Adams County, ND"	"38001"	"Jul, 2000"	"2000/07"	31.69
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"Adams County, ND"	"38001"	"Aug, 2000"	"2000/08"	32.65
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"Adams County, ND"	"38001"	"Sep, 2000"	"2000/09"	24.95
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"Adams County, ND"	"38001"	"Oct, 2000"	"2000/10"	16.34
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"Adams County, ND"	"38001"	"Nov, 2000"	"2000/11"	-1.30
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"Adams County, ND"	"38001"	"Dec, 2000"	"2000/12"	-9.58
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"Adams County, ND"	"38001"	"Jan, 2001"	"2001/01"	-2.78
