"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Month"	"Month Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"California"	"06"	"1999"	"1999"	"Jan., 1999"	"1999/01"	"Subarachnoid haemorrhage, unspecified"	"I60.9"	54	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Jan., 1999"	"1999/01"	"Intracerebral haemorrhage in brain stem"	"I61.3"	10	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Jan., 1999"	"1999/01"	"Intracerebral haemorrhage, unspecified"	"I61.9"	129	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Jan., 1999"	"1999/01"	"Intracranial haemorrhage (nontraumatic), unspecified"	"I62.9"	51	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Jan., 1999"	"1999/01"	"Cerebral infarction due to thrombosis of cerebral arteries"	"I63.3"	13	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Jan., 1999"	"1999/01"	"Cerebral infarction, unspecified"	"I63.9"	59	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Jan., 1999"	"1999/01"	"Stroke, not specified as haemorrhage or infarction"	"I64"	440	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Jan., 1999"	"1999/01"	"Sequelae of cerebral infarction"	"I69.3"	13	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Jan., 1999"	"1999/01"	"Sequelae of stroke, not specified as haemorrhage or infarction"	"I69.4"	102	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Jan., 1999"	"1999/01"	"Sequelae of other and unspecified cerebrovascular diseases"	"I69.8"	88	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Feb., 1999"	"1999/02"	"Subarachnoid haemorrhage, unspecified"	"I60.9"	34	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Feb., 1999"	"1999/02"	"Intracerebral haemorrhage, intraventricular"	"I61.5"	13	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Feb., 1999"	"1999/02"	"Intracerebral haemorrhage, unspecified"	"I61.9"	128	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Feb., 1999"	"1999/02"	"Intracranial haemorrhage (nontraumatic), unspecified"	"I62.9"	34	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Feb., 1999"	"1999/02"	"Cerebral infarction due to thrombosis of cerebral arteries"	"I63.3"	11	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Feb., 1999"	"1999/02"	"Cerebral infarction, unspecified"	"I63.9"	43	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Feb., 1999"	"1999/02"	"Stroke, not specified as haemorrhage or infarction"	"I64"	439	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Feb., 1999"	"1999/02"	"Sequelae of cerebral infarction"	"I69.3"	12	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Feb., 1999"	"1999/02"	"Sequelae of stroke, not specified as haemorrhage or infarction"	"I69.4"	94	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Feb., 1999"	"1999/02"	"Sequelae of other and unspecified cerebrovascular diseases"	"I69.8"	87	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Mar., 1999"	"1999/03"	"Subarachnoid haemorrhage, unspecified"	"I60.9"	32	Not Applicable	Not Applicable
