"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Month"	"Month Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	"Jan., 1999"	"1999/01"	"Subarachnoid haemorrhage, unspecified"	"I60.9"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Jan., 1999"	"1999/01"	"Intracerebral haemorrhage, unspecified"	"I61.9"	29	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Jan., 1999"	"1999/01"	"Cerebral infarction, unspecified"	"I63.9"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Jan., 1999"	"1999/01"	"Stroke, not specified as haemorrhage or infarction"	"I64"	107	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Feb., 1999"	"1999/02"	"Intracerebral haemorrhage, unspecified"	"I61.9"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Feb., 1999"	"1999/02"	"Stroke, not specified as haemorrhage or infarction"	"I64"	98	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Mar., 1999"	"1999/03"	"Intracerebral haemorrhage, unspecified"	"I61.9"	19	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Mar., 1999"	"1999/03"	"Cerebral infarction, unspecified"	"I63.9"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Mar., 1999"	"1999/03"	"Stroke, not specified as haemorrhage or infarction"	"I64"	114	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Apr., 1999"	"1999/04"	"Intracerebral haemorrhage, unspecified"	"I61.9"	27	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Apr., 1999"	"1999/04"	"Stroke, not specified as haemorrhage or infarction"	"I64"	91	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"May, 1999"	"1999/05"	"Intracerebral haemorrhage, unspecified"	"I61.9"	20	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"May, 1999"	"1999/05"	"Stroke, not specified as haemorrhage or infarction"	"I64"	89	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Jun., 1999"	"1999/06"	"Intracerebral haemorrhage, unspecified"	"I61.9"	20	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Jun., 1999"	"1999/06"	"Stroke, not specified as haemorrhage or infarction"	"I64"	95	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Jul., 1999"	"1999/07"	"Intracerebral haemorrhage, unspecified"	"I61.9"	20	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Jul., 1999"	"1999/07"	"Stroke, not specified as haemorrhage or infarction"	"I64"	86	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Jul., 1999"	"1999/07"	"Sequelae of stroke, not specified as haemorrhage or infarction"	"I69.4"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Aug., 1999"	"1999/08"	"Subarachnoid haemorrhage, unspecified"	"I60.9"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Aug., 1999"	"1999/08"	"Intracerebral haemorrhage, unspecified"	"I61.9"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Aug., 1999"	"1999/08"	"Cerebral infarction, unspecified"	"I63.9"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Aug., 1999"	"1999/08"	"Stroke, not specified as haemorrhage or infarction"	"I64"	85	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Sep., 1999"	"1999/09"	"Intracerebral haemorrhage, unspecified"	"I61.9"	26	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Sep., 1999"	"1999/09"	"Stroke, not specified as haemorrhage or infarction"	"I64"	96	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Oct., 1999"	"1999/10"	"Subarachnoid haemorrhage, unspecified"	"I60.9"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Oct., 1999"	"1999/10"	"Intracerebral haemorrhage, unspecified"	"I61.9"	26	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Oct., 1999"	"1999/10"	"Stroke, not specified as haemorrhage or infarction"	"I64"	86	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Nov., 1999"	"1999/11"	"Intracerebral haemorrhage, unspecified"	"I61.9"	31	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Nov., 1999"	"1999/11"	"Stroke, not specified as haemorrhage or infarction"	"I64"	73	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Dec., 1999"	"1999/12"	"Intracerebral haemorrhage, unspecified"	"I61.9"	25	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Dec., 1999"	"1999/12"	"Cerebral infarction, unspecified"	"I63.9"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Dec., 1999"	"1999/12"	"Stroke, not specified as haemorrhage or infarction"	"I64"	97	Not Applicable	Not Applicable
	"Alabama"	"01"	"2000"	"2000"	"Jan., 2000"	"2000/01"	"Subarachnoid haemorrhage, unspecified"	"I60.9"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"2000"	"2000"	"Jan., 2000"	"2000/01"	"Intracerebral haemorrhage, unspecified"	"I61.9"	36	Not Applicable	Not Applicable
