"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Month"	"Month Code"	"Day of Month"	"Day of Month Code"	Avg Daily Max Air Temperature (C)
	"Florida"	"12"	"1999"	"1999"	"Jan"	"1"	"1"	"1"	21.58
	"Florida"	"12"	"1999"	"1999"	"Jan"	"1"	"2"	"2"	24.38
	"Florida"	"12"	"1999"	"1999"	"Jan"	"1"	"3"	"3"	21.12
	"Florida"	"12"	"1999"	"1999"	"Jan"	"1"	"4"	"4"	10.94
	"Florida"	"12"	"1999"	"1999"	"Jan"	"1"	"5"	"5"	6.89
	"Florida"	"12"	"1999"	"1999"	"Jan"	"1"	"6"	"6"	13.67
	"Florida"	"12"	"1999"	"1999"	"Jan"	"1"	"7"	"7"	19.45
	"Florida"	"12"	"1999"	"1999"	"Jan"	"1"	"8"	"8"	23.13
	"Florida"	"12"	"1999"	"1999"	"Jan"	"1"	"9"	"9"	24.08
	"Florida"	"12"	"1999"	"1999"	"Jan"	"1"	"10"	"10"	16.13
	"Florida"	"12"	"1999"	"1999"	"Jan"	"1"	"11"	"11"	16.61
	"Florida"	"12"	"1999"	"1999"	"Jan"	"1"	"16"	"16"	23.14
	"Florida"	"12"	"1999"	"1999"	"Jan"	"1"	"17"	"17"	24.54
	"Florida"	"12"	"1999"	"1999"	"Jan"	"1"	"20"	"20"	25.39
	"Florida"	"12"	"1999"	"1999"	"Jan"	"1"	"23"	"23"	25.37
	"Florida"	"12"	"1999"	"1999"	"Jan"	"1"	"25"	"25"	21.82
	"Florida"	"12"	"1999"	"1999"	"Jan"	"1"	"29"	"29"	25.84
	"Florida"	"12"	"1999"	"1999"	"Jan"	"1"	"30"	"30"	25.25
	"Florida"	"12"	"1999"	"1999"	"Jan"	"1"	"31"	"31"	22.37
	"Florida"	"12"	"1999"	"1999"	"Feb"	"2"	"1"	"1"	22.97
	"Florida"	"12"	"1999"	"1999"	"Feb"	"2"	"2"	"2"	23.68
	"Florida"	"12"	"1999"	"1999"	"Feb"	"2"	"3"	"3"	24.95
	"Florida"	"12"	"1999"	"1999"	"Feb"	"2"	"4"	"4"	25.99
