"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Month"	"Month Code"	"Day of Month"	"Day of Month Code"	Avg Daily Max Air Temperature (C)
	"California"	"06"	"1999"	"1999"	"Jan"	"1"	"1"	"1"	13.35
	"California"	"06"	"1999"	"1999"	"Jan"	"1"	"2"	"2"	14.78
	"California"	"06"	"1999"	"1999"	"Jan"	"1"	"3"	"3"	13.77
	"California"	"06"	"1999"	"1999"	"Jan"	"1"	"4"	"4"	14.32
	"California"	"06"	"1999"	"1999"	"Jan"	"1"	"5"	"5"	14.89
	"California"	"06"	"1999"	"1999"	"Jan"	"1"	"6"	"6"	14.09
	"California"	"06"	"1999"	"1999"	"Jan"	"1"	"7"	"7"	12.28
	"California"	"06"	"1999"	"1999"	"Jan"	"1"	"8"	"8"	11.24
	"California"	"06"	"1999"	"1999"	"Jan"	"1"	"9"	"9"	13.95
	"California"	"06"	"1999"	"1999"	"Jan"	"1"	"10"	"10"	15.04
	"California"	"06"	"1999"	"1999"	"Jan"	"1"	"11"	"11"	13.96
	"California"	"06"	"1999"	"1999"	"Jan"	"1"	"13"	"13"	12.62
	"California"	"06"	"1999"	"1999"	"Jan"	"1"	"14"	"14"	14.04
	"California"	"06"	"1999"	"1999"	"Jan"	"1"	"15"	"15"	13.21
	"California"	"06"	"1999"	"1999"	"Jan"	"1"	"16"	"16"	11.97
	"California"	"06"	"1999"	"1999"	"Jan"	"1"	"17"	"17"	12.11
	"California"	"06"	"1999"	"1999"	"Jan"	"1"	"20"	"20"	11.38
	"California"	"06"	"1999"	"1999"	"Jan"	"1"	"22"	"22"	10.09
	"California"	"06"	"1999"	"1999"	"Jan"	"1"	"24"	"24"	8.58
	"California"	"06"	"1999"	"1999"	"Jan"	"1"	"25"	"25"	7.46
	"California"	"06"	"1999"	"1999"	"Jan"	"1"	"28"	"28"	8.51
	"California"	"06"	"1999"	"1999"	"Jan"	"1"	"29"	"29"	10.57
	"California"	"06"	"1999"	"1999"	"Jan"	"1"	"30"	"30"	10.04
	"California"	"06"	"1999"	"1999"	"Jan"	"1"	"31"	"31"	7.50
	"California"	"06"	"1999"	"1999"	"Feb"	"2"	"1"	"1"	8.33
	"California"	"06"	"1999"	"1999"	"Feb"	"2"	"2"	"2"	11.00
	"California"	"06"	"1999"	"1999"	"Feb"	"2"	"3"	"3"	12.88
	"California"	"06"	"1999"	"1999"	"Feb"	"2"	"4"	"4"	10.02
	"California"	"06"	"1999"	"1999"	"Feb"	"2"	"5"	"5"	8.25
	"California"	"06"	"1999"	"1999"	"Feb"	"2"	"6"	"6"	9.03
	"California"	"06"	"1999"	"1999"	"Feb"	"2"	"7"	"7"	10.21
	"California"	"06"	"1999"	"1999"	"Feb"	"2"	"8"	"8"	10.90
	"California"	"06"	"1999"	"1999"	"Feb"	"2"	"9"	"9"	9.07
	"California"	"06"	"1999"	"1999"	"Feb"	"2"	"10"	"10"	5.15
	"California"	"06"	"1999"	"1999"	"Feb"	"2"	"11"	"11"	7.33
	"California"	"06"	"1999"	"1999"	"Feb"	"2"	"12"	"12"	11.56
	"California"	"06"	"1999"	"1999"	"Feb"	"2"	"13"	"13"	11.77
	"California"	"06"	"1999"	"1999"	"Feb"	"2"	"14"	"14"	11.34
	"California"	"06"	"1999"	"1999"	"Feb"	"2"	"15"	"15"	11.57
	"California"	"06"	"1999"	"1999"	"Feb"	"2"	"16"	"16"	11.21
	"California"	"06"	"1999"	"1999"	"Feb"	"2"	"17"	"17"	12.69
	"California"	"06"	"1999"	"1999"	"Feb"	"2"	"18"	"18"	13.11
	"California"	"06"	"1999"	"1999"	"Feb"	"2"	"19"	"19"	11.29
	"California"	"06"	"1999"	"1999"	"Feb"	"2"	"20"	"20"	11.43
	"California"	"06"	"1999"	"1999"	"Feb"	"2"	"21"	"21"	9.55
	"California"	"06"	"1999"	"1999"	"Feb"	"2"	"22"	"22"	10.96
	"California"	"06"	"1999"	"1999"	"Feb"	"2"	"23"	"23"	13.09
	"California"	"06"	"1999"	"1999"	"Feb"	"2"	"24"	"24"	14.26
	"California"	"06"	"1999"	"1999"	"Feb"	"2"	"25"	"25"	10.21
	"California"	"06"	"1999"	"1999"	"Feb"	"2"	"26"	"26"	10.78
	"California"	"06"	"1999"	"1999"	"Feb"	"2"	"27"	"27"	14.40
	"California"	"06"	"1999"	"1999"	"Feb"	"2"	"28"	"28"	14.94
	"California"	"06"	"1999"	"1999"	"Mar"	"3"	"1"	"1"	15.43
	"California"	"06"	"1999"	"1999"	"Mar"	"3"	"2"	"2"	16.45
	"California"	"06"	"1999"	"1999"	"Mar"	"3"	"3"	"3"	13.27
	"California"	"06"	"1999"	"1999"	"Mar"	"3"	"4"	"4"	10.82
