,State,Population
0,Alaska,711139.0
1,Arizona,6410979.0
2,Arkansas,2916372.0
3,California,37325068.0
4,Colorado,5042853.0
5,Connecticut,3572213.0
6,Delaware,900131.0
7,District of Columbia,605759.0
8,Florida,18885152.0
9,Georgia,9714569.0
10,Hawaii,1362730.0
11,Idaho,1567803.0
12,Illinois,12823860.0
13,Indiana,6485530.0
14,Iowa,3047646.0
15,Kansas,2851183.0
16,Kentucky,4340167.0
17,Louisiana,4529605.0
18,Maine,1329084.0
19,Maryland,5785496.0
20,Massachusetts,6560595.0
21,Michigan,9897264.0
22,Minnesota,5313081.0
23,Mississippi,2967620.0
24,Missouri,5982413.0
25,Montana,990785.0
26,Nebraska,1827306.0
27,Nevada,2704204.0
28,New Hampshire,1317474.0
29,New Jersey,8793888.0
30,New Mexico,2055287.0
31,New York,19398125.0
32,North Carolina,9544249.0
33,North Dakota,676253.0
34,Ohio,11533561.0
35,Oklahoma,3749005.0
36,Oregon,3836628.0
37,Pennsylvania,12699589.0
38,Puerto Rico,3716727.0
39,Rhode Island,1052471.0
40,South Carolina,4630351.0
41,South Dakota,815871.0
42,Tennessee,6353226.0
43,Texas,25208897.0
44,Utah,2766233.0
45,Vermont,625498.0
46,Virginia,8014955.0
47,Washington,6738714.0
48,West Virginia,1850481.0
49,Wisconsin,5687219.0
50,Wyoming,562803.0
