 year   1     2     3     4     5     6     7     8     9     10    11    12 
 1999  3.93  3.00  3.69  1.23  4.78  5.39  5.17  2.60  2.92  2.12  8.31  2.71
 2000  0.70  2.54  4.15  2.97  3.40  12.80 16.25 2.78  3.48  1.48  4.03  1.15
 2001  0.98  0.80  5.59  6.08  1.83  2.56  0.33  2.37  3.91  5.14  4.22  5.28
 2002  2.58  1.30  1.16  2.49  0.92  0.65  3.11  1.31  1.43  3.46  1.03  1.40
 2003  0.50  1.10  0.41  0.99  0.40  3.59  1.56  0.32  0.47  4.12  2.44  0.63
 2004  0.36  0.66  0.72  0.83  0.07  0.06  3.74  0.07  0.52  0.85  3.13  0.58
 2005  5.02  0.00  0.14  0.02  2.17  0.26  1.89  0.65  0.03  0.00  0.00  0.07
 2006  0.01  0.00  0.00  0.00  0.00  0.01  0.00  0.02  0.00  0.00  0.03  0.02
 2007  0.35  0.00  0.01  0.00  0.11  0.00  0.05  0.00  0.00  0.00  0.00  0.08
 2008  0.00  0.00  0.00  0.03  0.00  0.00  0.00  0.00  0.00  0.00  0.03  0.00
 2009  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.10  0.00  0.07
 2010  0,22  1,07  0,19	 0,01  0,16  0,12  0,17	 0,58  0,20  0,33  0,12	 0,00
 2011  0.02  0.19  1.32	 1.16  0.22  0.30  2.44	 3.32  7.43  1.31  1.98	 0.39
